,Recorder,Date,Time,Path
95,G03,2018/05/12,22:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_220800.wav
96,G03,2018/05/12,22:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_222400.wav
97,G03,2018/05/12,22:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_224000.wav
98,G03,2018/05/12,22:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_225600.wav
99,G03,2018/05/12,23:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_231200.wav
100,G03,2018/05/12,23:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_232800.wav
101,G03,2018/05/12,23:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180512_234400.wav
102,G03,2018/05/13,0:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_000000.wav
103,G03,2018/05/13,0:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_001600.wav
104,G03,2018/05/13,0:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_003200.wav
105,G03,2018/05/13,0:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_004800.wav
106,G03,2018/05/13,1:04:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_010400.wav
107,G03,2018/05/13,1:20:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_012000.wav
108,G03,2018/05/13,1:36:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_013600.wav
109,G03,2018/05/13,1:52:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_015200.wav
110,G03,2018/05/13,2:08:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_020800.wav
111,G03,2018/05/13,2:24:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_022400.wav
112,G03,2018/05/13,2:40:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_024000.wav
113,G03,2018/05/13,2:56:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_025600.wav
114,G03,2018/05/13,3:12:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_031200.wav
115,G03,2018/05/13,3:28:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_032800.wav
116,G03,2018/05/13,3:44:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_034400.wav
117,G03,2018/05/13,4:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_040000.wav
118,G03,2018/05/13,4:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_041600.wav
119,G03,2018/05/13,4:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_043200.wav
120,G03,2018/05/13,4:48:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_044800.wav
121,G03,2018/05/13,8:00:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_080000.wav
122,G03,2018/05/13,8:16:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_081600.wav
123,G03,2018/05/13,8:32:00,/content/drive/MyDrive/Jaguas_2018/G03_m/G03_20180513_083200.wav
